username,reponame,repoURL,no_of_stars
electron,electron,https://github.com/electron/electron,114000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,88200
microsoft,playwright,https://github.com/microsoft/playwright,65500
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,48300
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31000
ovity,octotree,https://github.com/ovity/octotree,22800
segment-boneyard,nightmare,https://github.com/segment-boneyard/nightmare,19500
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,15100
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,14800
google,WebFundamentals,https://github.com/google/WebFundamentals,13900
schickling,chromeless,https://github.com/schickling/chromeless,13200
casesandberg,react-color,https://github.com/casesandberg/react-color,12000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,11900
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,11800
feder-cr,linkedIn_auto_jobs_applier_with_AI,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI,11400
chromedp,chromedp,https://github.com/chromedp/chromedp,10800
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,10600
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,9800
ultrafunkamsterdam,undetected-chromedriver,https://github.com/ultrafunkamsterdam/undetected-chromedriver,9500
